Name,Number,Date,Rating,Runtime
Master & Commander,1,,,
Anchorman,2,,,
Around The World In 80 Days,2,,,
National Treasure,3,,,
Out Of Time,3,,,
Pelican Brief,4,,,
Pieces of April,4,,,
Runaway Jury,5,,,
A Time To Kill,6,,,
The Firm,7,,,
Meet The Fockers,8,,,
Racing Stripes,8,,,
Airbud,9,,,
The Door in the Floor,9,,,
Judge Dredd,10,,,
Kill Bill Vol. 1,10,,,
Driving Miss Daisey,11,,,
The Fugitive,11,,,
Bad Santa,12,,,
King Arthur,12,,,
Bridget Jones - Edge of Reason,13,,,
Collateral,13,,,
Charlotte's Webb - Original,14,,,
Superman,14,,,
Hellboy,15,,,
Texas Chainsaw Massacre,15,,,
Convoy,16,,,
Men In Black,16,,,
Ash Wednesday,17,,,
Gangs of New York,17,,,
Radio,18,,,
Saw,18,,,
Footloose,19,,,
The Terminator,19,,,
"I, Robot",20,,,
Top Gun,20,,,
Blankman,21,,,
Gone Fishin',21,,,
Cheaper By The Dozen,22,,,
Harvard Man,22,,,
Jackie Chan's First Strike,23,,,
White Noise,23,,,
Monster In Law,24,,,
Outbreak,25,,,
Starship Troopers 2,25,,,
Hitch,26,,,
Starsky & Hutch,26,,,
Princess Diaries 2,27,,,
Captain Ron,28,,,
Ghostbusters,28,,,
Envy,29,,,
Hide & Seek,29,,,
Friday Nite Lites,30,,,
Santa Clause 2,30,,,
Beyond Borders,31,,,
Fahrenheit 911,31,,,
Adams Family Values,32,,,
Miss Congeniality 2 - Armed and Fabulous,32,,,
The Last Samurai,33,,,
A Christmas Carol,34,,,
Surviving Christmas,34,,,
Life Aquatic,35,,,
Resident Evil - Apocalypse,35,,,
Frozen In Fear,36,,,
It's The Rage,36,,,
Fat Albert,37,,,
Groundhog Day,37,,,
Psycho,38,,,
White Chicks,38,,,
Phantom of the Opera,39,,,
Airplane,40,,,
Ocean's 12,40,,,
Every Which Way But Loose,41,,,
G.I. Jane,41,,,
Bill & Ted's Bogus Journey,42,,,
Kill Bill Vol. 2,43,,,
Mickey's Christmas Carol,43,,,
Day After Tomorrow,44,,,
"Liar, Liar",44,,,
Throw Mama From The Train,45,,,
The Aviator,46,,,
Ghosts of the Abyss,47,,,
Taxi,47,,,
Are We There Yet?,48,,,
Johnson Family Vacation,48,,,
Elektra,49,,,
The Little Rascals,49,,,
Adams Family,50,,,
Human Stain,50,,,
Man of the House,51,,,
Wedding Crashers,51,,,
Against The Ropes,52,,,
Ladder 49,52,,,
Speed 2 - Cruise Control,53,,,
The Adventures of Sharkboy & Lavagirl,53,,,
Man on Fire,54,,,
The Stupids,54,,,
Blade Trinity,55,,,
The Prince & Me,55,,,
Hostage,56,,,
Popeye,56,,,
Flirting With Disaster,57,,,
